Category,2er,3er,4er,Type,Card Name,Age,Tech cost,Build cost,Food,Resource,Culture,Strength,Happy,Science,CA,MA,Card text and comments
,1,1,1,Wonder,Hollywood,III,,5 6 5,,,,,,,,,Immediately score 2 culture per level of each of your theaters and libraries
,1,1,1,Wonder,Internet,III,,2 3 4 3 2,,,,,,,,,Immediately score 2 culture per level of each of your labs and libraries
,1,1,1,Wonder,First Space Flight,III,,3 4 9,,,,,,,,,Immediately score 1 culture per level of each of your technology cards
,1,1,1,Wonder,Fast Food Chains,III,,4 4 4 4,,,,,,,,,"Immediately score 1 culture every military/urban worker, 2 culture every farmer/miner"
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Leader,1,1,1,Leader,Julius Caesar,A,,,,,,1,,,,1,
,1,1,1,Leader,Homer,A,,,,,?,,,,,,"Each round, you have extra 1 resource for building military; up to 2 warriors produce 1 culture each"
,1,1,1,Leader,Moses,A,,,,,,,,,,,Increasing your population costs you 1 food less
,1,1,1,Leader,Hammurabi,A,,,,,,,,,1,-1,
,1,1,1,Leader,Aristotle,A,,,,,,,,,,,"Every time you take a technology card from the card row, you score 1 science point"
,1,1,1,Leader,Alexander the Great,A,,,,,,?,,,,,Each of your military units gives you an additional +1 strength
,,,,,,,,,,,,,,,,,
,1,1,1,Leader,Michelangelo,I,,,,,?,,,,,,"Temples, theaters, & wonders produce 1 extra culture per happy face; 1 less civil action for wonder cards"
,1,1,1,Leader,Joan of Arc,I,,,,,,?,,,,,Temples give you +1 strength for each happy face; score 5 culture when aggression or war played on you
,1,1,1,Leader,Leonardo Da Vinci,I,,,,,,,,?,,,"Best lab or library produces extra science: +1 per level; When you play a technology card, produce 1 resource"
,1,1,1,Leader,Genghis Khan,I,,,,,?,?,,,,,Ignore effects of your tactics card. Each of your cavalry units get +1 strength and produces +1 culture
,1,1,1,Leader,Christopher Columbus,I,,,,,,,,,,,"Once during the game, you can use political action to colonize a territory in your hand without sacrificing units"
,1,1,1,Leader,Frederick Barbarossa,I,,,,,,,,,,,"For 1 civil action, you can increase your population by 1 worker, and build a new military unit with it. Costs 1 food and 1 resource less"
,,,,,,,,,,,,,,,,,
,1,1,1,Leader,William Shakespeare,II,,,,,?,,,,,,Each of your libraries produces an extra 1 culture. Each library-theater pair produces an additional 2 culture
,1,1,1,Leader,James Cook,II,,,,,?,,,,,,"When colonizing, each colonization bonus card has an additional +1. Colonies produce 2 culture each"
,1,1,1,Leader,Napoleon Bonaparte,II,,,,,,?,,,,1,The tactics bonus of your best army is doubled
,1,1,1,Leader,Maximillien Robespierre,II,,,,,,,,,,1,Revolution costs you all your military actions instead of all your civil actions
,1,1,1,Leader,J.S. Bach,II,,,,,?,,,,,,It costs you 1 science less to discover theater techs; theaters cost 1 less resource to build and produce 1 extra culture
,1,1,1,Leader,Isaac Newton,II,,,,,,,,?,,,"You best lab or library produces extra science equal to its level; every time you play a technology card, get 1 spent civil action back"
,,,,,,,,,,,,,,,,,
,1,1,1,Leader,Albert Einstein,III,,,,,,,,?,,,Your best lab or library produces extra science: 1 per level; Score 3 culture when you play a tech card
,1,1,1,Leader,Mahatma Gandhi,III,,,,,2,,,,,,You may not play aggression or war cards; opponents pay 2x the military actions to play them against you
,1,1,1,Leader,Rock & Roll Icon,III,,,,,?,,2,,,,Best theater produces twice as much culture
,1,1,1,Leader,Nikolai Tesla,III,,,,?,,,,,,,Each lab produces resources: 1 per level; it costs other players 1 extra resource to build or upgrade labs or libraries
,1,1,1,Leader,Winston Churchill,III,,,,,,,,,,,"Military unit techs cost you 3 science less; defense bonus cards count twice; when war is declared on you, new units cost 2 resource less to build"
,1,1,1,Leader,Game Designer,III,,,,,?,,,-?,,,Each of your labs produces culture: 1 per level; each lab produces 1 less science
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Govt,2,3,4,Govt,Despotism,A,0,,,,,,,,4,2,Building limit: 2
,,,,,,,,,,,,,,,,,
,1,2,2,Govt,Monarchy,I,3 (9),,,,,,,,5,3,Building limit: 3
,1,1,1,Govt,Theocracy,I,2 (7),,,,1,,2,,4,3,Building limit: 3
,,,,,,,,,,,,,,,,,
,1,2,2,Govt,Constitutional Monarchy,II,5 (12),,,,,,,,6,4,Building limit: 3
,1,1,2,Govt,Republic,II,4 (14),,,,,,,,7,2,Building limit: 3
,,,,,,,,,,,,,,,,,
,1,1,1,Govt,Communism,III,6 (17),,,,,,-1,,7,5,Building limit: 4
,1,2,2,Govt,Democracy,III,8 (21),,,,2,,,,7,3,Building limit: 4
,1,1,1,Govt,Fundamentalism,III,7 (19),,,,,5,,,6,5,Building limit: 4
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Special,1,2,2,Military,Warfare,I,4,,,,,1,,,,1,
,1,1,1,Military,Strategy,II,8,,,,,3,,,,2,
,1,1,2,Military,Military Theory,III,12,,,,,5,,,,3,
,,,,,,,,,,,,,,,,,
,1,2,2,Civil,Code of Laws,I,6,,,,,,,,1,,
,1,1,2,Civil,Justice System,II,7,,,,,,,,1,,Add 3 blue tokens
,1,1,1,Civil,Civil Service,III,10,,,,,,,,2,,Add 3 blue tokens
,,,,,,,,,,,,,,,,,
,1,1,1,Colonization,Cartography,I,4,,,,,1,,,,,Get a +2 bonus when colonizing new territories
,1,1,1,Colonization,Navigation,II,6,,,,,2,,,,,Get a +3 bonus when colonizing new territories
,1,1,1,Colonization,Satellites,III,8,,,,,3,,,,,Get a +4 bonus when colonizing new territories
,,,,,,,,,,,,,,,,,
,1,1,1,Construction,Masonry,I,3,,,,,,,,,,"Level I, II, and III buildings cost 1 less resource; can build up to 2 stages of wonder in 1 civil action"
,1,2,2,Construction,Architecture,II,6,,,,,,,,,,Level I buildings cost 1 less resource; level II & III 2 less; can build up to 3 stages of wonder in 1 civil action
,1,1,2,Construction,Engineering,III,9,,,,,,,,,,"Level I buildings cost 1 less resource; level II 2 less, and level III 3 less; can build up to 4 stages of wonder in 1 civil action"















































































































































































































































































































































































































































